resource.h, Line: 3, Word: 1
Transform, Line: 482, Word: 1
Move..., Line: 484, Word: 1
Rotate..., Line: 485, Word: 1
Scale..., Line: 486, Word: 1
Mirror..., Line: 487, Word: 1
Reorient..., Line: 488, Word: 1
Dynamic..., Line: 489, Word: 1
Move on work plane..., Line: 490, Word: 1
Coordinate system, Line: 492, Word: 1
Select active coordinate system..., Line: 494, Word: 1
Modify..., Line: 495, Word: 1
Visibility..., Line: 497, Word: 1
Delete..., Line: 498, Word: 1
Analyze Mode, Line: 499, Word: 1
Curve (F2), Line: 501, Word: 1
Surface (F3), Line: 502, Word: 1
Exit Analyze Mode (Esc), Line: 503, Word: 1
Explode text to curves..., Line: 505, Word: 1
Make unselectable, Line: 506, Word: 1
Remake selectable, Line: 507, Word: 1
&View, Line: 509, Word: 1
&Toolbars, Line: 511, Word: 1
Open, Line: 513, Word: 1
Basic, Line: 514, Word: 1
View, Line: 515, Word: 1
Sketch, Line: 516, Word: 1
WireEDM, Line: 517, Word: 1
Mill, Line: 518, Word: 1
Solid2d, Line: 519, Word: 1
&Status Bar, Line: 521, Word: 1
Treeview, Line: 522, Word: 1
Plugin Window, Line: 523, Word: 1
IE window, Line: 524, Word: 1
Change view direction..., Line: 525, Word: 1
Hide..., Line: 526, Word: 1
Show hidden..., Line: 527, Word: 1
Save screen view as bmp..., Line: 528, Word: 1
Auto bmp generate from screen..., Line: 529, Word: 1
Dynamic clipping..., Line: 530, Word: 1
Status Window, Line: 531, Word: 1
Selection Bar, Line: 532, Word: 1
Coordinates Bar, Line: 533, Word: 1
IE Window Home Page, Line: 534, Word: 1
Regenerate graphics..., Line: 535, Word: 1
ChangeViewTo, Line: 536, Word: 1
Top, Line: 538, Word: 1
Front, Line: 539, Word: 1
Right, Line: 540, Word: 1
Bottom, Line: 541, Word: 1
Back, Line: 542, Word: 1
Left, Line: 543, Word: 1
Iso, Line: 544, Word: 1
DrawStyle, Line: 546, Word: 1
ShadedAndWireFrame, Line: 548, Word: 1
Shaded, Line: 549, Word: 1
WireFrame, Line: 550, Word: 1
HiddenLine, Line: 551, Word: 1
Transparent HiddenLine, Line: 552, Word: 1
Triangles, Line: 553, Word: 1
ChangeViewDir..., Line: 555, Word: 1
ColorMode, Line: 556, Word: 1
Standard, Line: 558, Word: 1
Variable, Line: 559, Word: 1
Free selection form, Line: 561, Word: 1
Post process simulations, Line: 562, Word: 1
Macro tables dialog, Line: 563, Word: 1
&Insert, Line: 565, Word: 1
Coordinate system, Line: 567, Word: 1
Absolute, Line: 569, Word: 1
As view direction, Line: 570, Word: 1
By dialog..., Line: 571, Word: 1
Box..., Line: 573, Word: 1
Text..., Line: 574, Word: 1
Label..., Line: 575, Word: 1
Section..., Line: 576, Word: 1
Tree link..., Line: 577, Word: 1
Points from BMP..., Line: 578, Word: 1
Silhoutte..., Line: 579, Word: 1
Color definition..., Line: 580, Word: 1
Glyph Sets..., Line: 581, Word: 1
Color map..., Line: 582, Word: 1
Attach texture to surface..., Line: 583, Word: 1
Auto loop..., Line: 584, Word: 1
Search overlaps..., Line: 585, Word: 1
PathCalc2D, Line: 586, Word: 1
Stone nesting, Line: 587, Word: 1
Select stock..., Line: 589, Word: 1
Make hull, Line: 591, Word: 1
Supports and vacuum..., Line: 592, Word: 1
Make transformation group, Line: 593, Word: 1
&Preferences, Line: 595, Word: 1
Triangles Read Write..., Line: 597, Word: 1
IGES Read..., Line: 598, Word: 1
Colors and display..., Line: 599, Word: 1
Mouse Options..., Line: 600, Word: 1
DXF Read..., Line: 601, Word: 1
DXF Export..., Line: 602, Word: 1
Lua Script..., Line: 603, Word: 1
Segmentation Parameters..., Line: 604, Word: 1
Stone Parameters..., Line: 605, Word: 1
Free selection, Line: 606, Word: 1
Factory Settings, Line: 607, Word: 1
Load Factory Settings, Line: 609, Word: 1
Create My Factory Settings, Line: 610, Word: 1
Load My Factory Settings, Line: 611, Word: 1
Load My Factory Settings to Cloud, Line: 612, Word: 1
Get My Factoyr Settings From Cloud, Line: 613, Word: 1
General settings..., Line: 615, Word: 1
Configurations..., Line: 616, Word: 1
Settings root directory, Line: 617, Word: 1
&Dimensions, Line: 619, Word: 1
&List..., Line: 621, Word: 1
Dimension..., Line: 622, Word: 1
Dynamic Curve Info, Line: 623, Word: 1
Dynamic Surface Info, Line: 624, Word: 1
Exit Dynamic Info, Line: 625, Word: 1
&Window, Line: 627, Word: 1
&New Window, Line: 629, Word: 1
&Cascade, Line: 630, Word: 1
&Tile, Line: 631, Word: 1
&Arrange Icons, Line: 632, Word: 1
Test..., Line: 633, Word: 1
Geo, Line: 635, Word: 1
Make Points..., Line: 637, Word: 1
Make curves, Line: 638, Word: 1
Lines..., Line: 640, Word: 1
Circles/Arcs..., Line: 641, Word: 1
Ellipse..., Line: 642, Word: 1
Spiral, Line: 643, Word: 1
Splines..., Line: 644, Word: 1
Surface silhouette..., Line: 645, Word: 1
Extract triangles edges..., Line: 646, Word: 1
Normal lines from surface..., Line: 647, Word: 1
Extract surface edges..., Line: 648, Word: 1
Make convex hull..., Line: 649, Word: 1
Make hull..., Line: 650, Word: 1
Make reversed copy..., Line: 651, Word: 1
Fillet, Line: 652, Word: 1
Min distance, Line: 653, Word: 1
Make net, Line: 655, Word: 1
By grid dialog, Line: 657, Word: 1
Make surfaces, Line: 659, Word: 1
Ruled..., Line: 661, Word: 1
Surface of revolution..., Line: 662, Word: 1
Offset surface..., Line: 663, Word: 1
Extrusion..., Line: 664, Word: 1
From segments..., Line: 665, Word: 1
From planar curves..., Line: 666, Word: 1
From net..., Line: 667, Word: 1
Maked reversed copy..., Line: 668, Word: 1
Reform by B-Spline(s), Line: 669, Word: 1
Make shell, Line: 671, Word: 1
Filleting..., Line: 672, Word: 1
Minimum Distance..., Line: 673, Word: 1
Curve-curve..., Line: 675, Word: 1
Close holes of a surface..., Line: 677, Word: 1
Make Box..., Line: 678, Word: 1
Solid2D, Line: 679, Word: 1
Parametric shapes, Line: 681, Word: 1
Make, Line: 682, Word: 1
Boolean, Line: 683, Word: 1
Unite, Line: 685, Word: 1
Intersect, Line: 686, Word: 1
Subtract, Line: 687, Word: 1
Hatch, Line: 689, Word: 1
Offset, Line: 690, Word: 1
Explode to curves, Line: 691, Word: 1
Hollow, Line: 692, Word: 1
Add path, Line: 693, Word: 1
Position on solid 2D, Line: 694, Word: 1
Fillet, Line: 695, Word: 1
Chamfer, Line: 696, Word: 1
Solid 2.5D, Line: 698, Word: 1
Make..., Line: 700, Word: 1
Chamfer..., Line: 701, Word: 1
Fillet..., Line: 702, Word: 1
Explode to surfaces..., Line: 703, Word: 1
Trimming, Line: 705, Word: 1
Surfaces..., Line: 707, Word: 1
Split curves..., Line: 708, Word: 1
Split curves by work plane..., Line: 709, Word: 1
Projection, Line: 711, Word: 1
Project curves to work plane, Line: 713, Word: 1
Project curves on a surface, Line: 714, Word: 1
Unproject curve to curve, Line: 715, Word: 1
Multi direction projection to work plane, Line: 716, Word: 1
Join curves..., Line: 718, Word: 1
Offset curves, Line: 719, Word: 1
Offset, Line: 721, Word: 1
Sharp offset, Line: 722, Word: 1
3D offset, Line: 723, Word: 1
Variable offset, Line: 724, Word: 1
Extend curves..., Line: 726, Word: 1
Sphere mapping, Line: 727, Word: 1
Spine calculation, Line: 728, Word: 1
Helical revolution..., Line: 729, Word: 1
Subdivision Curves..., Line: 730, Word: 1
Make convex hull..., Line: 731, Word: 1
Helical wrapping, Line: 732, Word: 1
Groove calculator..., Line: 733, Word: 1
Turning, Line: 735, Word: 1
Turn Form..., Line: 737, Word: 1
Manuel G Cod, Line: 738, Word: 1
Turning..., Line: 739, Word: 1
Machining, Line: 741, Word: 1
Tools, Line: 743, Word: 1
Contour machining, Line: 744, Word: 1
Drilling, Line: 745, Word: 1
Sew blade machining, Line: 746, Word: 1
Manuel nesting, Line: 747, Word: 1
Make stock, Line: 749, Word: 1
Make part, Line: 750, Word: 1
Compact cutting, Line: 752, Word: 1
Automated true shape cutting, Line: 753, Word: 1
Tables, Line: 754, Word: 1
Post processor settings, Line: 755, Word: 1
Settings, Line: 756, Word: 1
Advanced machining, Line: 758, Word: 1
Show GUI..., Line: 760, Word: 1
Set machining direction, Line: 761, Word: 1
Set custom tool axis direction, Line: 762, Word: 1
Edit contour 2D tool angle, Line: 763, Word: 1
Start, Line: 765, Word: 1
Close, Line: 766, Word: 1
Wire machining, Line: 769, Word: 1
Single contour, Line: 771, Word: 1
Multi contours, Line: 772, Word: 1
4 axis, Line: 773, Word: 1
Surface machining, Line: 774, Word: 1
Taper machining, Line: 775, Word: 1
Wire machining post processor, Line: 776, Word: 1
Help, Line: 778, Word: 1
Manuel, Line: 780, Word: 1
About, Line: 781, Word: 1
Operations, Line: 787, Word: 1
Insert Operation..., Line: 789, Word: 1
Hide all toolpath, Line: 790, Word: 1
Show all toolpath, Line: 791, Word: 1
Send to postbox, Line: 792, Word: 1
Clear, Line: 793, Word: 1
Texture Map, Line: 799, Word: 1
Show, Line: 801, Word: 1
Hide, Line: 802, Word: 1
Image, Line: 803, Word: 1
Flip along U, Line: 805, Word: 1
Flip along V, Line: 806, Word: 1
Export image, Line: 807, Word: 1
Apply median filter..., Line: 808, Word: 1
Apply Sobel filter..., Line: 809, Word: 1
Make grey scale, Line: 810, Word: 1
Segmentation, Line: 812, Word: 1
Make segmented solid..., Line: 814, Word: 1
Attach geometry..., Line: 816, Word: 1
Delete   X, Line: 817, Word: 1
Client Context, Line: 823, Word: 1
Show, Line: 825, Word: 1
Hide, Line: 826, Word: 1
Segment, Line: 832, Word: 1
Show, Line: 834, Word: 1
Hide, Line: 835, Word: 1
Form region curves for checked, Line: 836, Word: 1
Make convex hull for checked, Line: 837, Word: 1
Make hull for checked, Line: 838, Word: 1
Check selected..., Line: 839, Word: 1
Uncheck selected..., Line: 840, Word: 1
Delete checked  X, Line: 841, Word: 1
Segmented Solid, Line: 847, Word: 1
Show, Line: 849, Word: 1
Hide, Line: 850, Word: 1
Make outer net..., Line: 851, Word: 1
Make inner net..., Line: 852, Word: 1
Delete   X, Line: 853, Word: 1
res\\bmp00001.bmp, Line: 933, Word: 1
res\\CNCSTEP.bmp, Line: 935, Word: 1
res\\toolbar1.bmp, Line: 937, Word: 1
res\\bitmap_w.bmp, Line: 939, Word: 1
res\\bitmap3.bmp, Line: 941, Word: 1
res\\bitmap4.bmp, Line: 943, Word: 1
res\\bmp00002.bmp, Line: 945, Word: 1
res\\bitmap_f.bmp, Line: 947, Word: 1
res\\toolbar3.bmp, Line: 949, Word: 1
res\\toolbargeo.bmp, Line: 951, Word: 1
res\\toolbarkki.bmp, Line: 953, Word: 1
TaperInfo1.bmp, Line: 955, Word: 1
bitmapwx3.bmp, Line: 957, Word: 1
res\\bmp00003.bmp, Line: 959, Word: 1
bitmapwi4.bmp, Line: 961, Word: 1
bitmapta9.bmp, Line: 963, Word: 1
bitmapta8.bmp, Line: 965, Word: 1
res\\bitmap_t.bmp, Line: 967, Word: 1
bitmapta10.bmp, Line: 969, Word: 1
wiretoolbar1.bmp, Line: 971, Word: 1
res\\toolbar4.bmp, Line: 973, Word: 1
res\\wireprogramplane.bmp, Line: 975, Word: 1
res\\bmp00004.bmp, Line: 977, Word: 1
res\\solidcncresmilogo.BMP, Line: 979, Word: 1
res\\bmpToolInfo.bmp, Line: 981, Word: 1
res\\bmp00005.bmp, Line: 983, Word: 1
res\\bitmapCylinderTool.bmp, Line: 985, Word: 1
res\\bitmapSphereTool.bmp, Line: 987, Word: 1
res\\bitmapTorusTool.bmp, Line: 989, Word: 1
res\\bitmapConicTool.bmp, Line: 991, Word: 1
res\\bitmapUserTool.bmp, Line: 993, Word: 1
res\\zOverCut.bmp, Line: 995, Word: 1
res\\bitmap_s.bmp, Line: 997, Word: 1
res\\bitmap7.bmp, Line: 999, Word: 1
res\\bmp00006.bmp, Line: 1001, Word: 1
res\\bitmap8.bmp, Line: 1003, Word: 1
res\\bmp00007.bmp, Line: 1005, Word: 1
res\\bmp00008.bmp, Line: 1007, Word: 1
res\\bmp00009.bmp, Line: 1009, Word: 1
res\\bmp00010.bmp, Line: 1011, Word: 1
res\\bmp00011.bmp, Line: 1013, Word: 1
res\\bmp00012.bmp, Line: 1015, Word: 1
res\\bmp00013.bmp, Line: 1017, Word: 1
res\\bmp00014.bmp, Line: 1019, Word: 1
res\\bmp00015.bmp, Line: 1021, Word: 1
res\\bmp00016.bmp, Line: 1023, Word: 1
res\\bmp00017.bmp, Line: 1025, Word: 1
res\\bmp00018.bmp, Line: 1027, Word: 1
res\\bmp00019.bmp, Line: 1029, Word: 1
res\\bmp00020.bmp, Line: 1031, Word: 1
res\\bmp00021.bmp, Line: 1033, Word: 1
res\\bmp00022.bmp, Line: 1035, Word: 1
res\\bmp00023.bmp, Line: 1037, Word: 1
res\\bmp00024.bmp, Line: 1039, Word: 1
res\\bmp00025.bmp, Line: 1041, Word: 1
res\\bmp00026.bmp, Line: 1043, Word: 1
res\\bmp00027.bmp, Line: 1045, Word: 1
res\\bmp00028.bmp, Line: 1047, Word: 1
res\\bmp00029.bmp, Line: 1049, Word: 1
res\\bmp00030.bmp, Line: 1051, Word: 1
res\\bmp00031.bmp, Line: 1053, Word: 1
Visual Attributes, Line: 1063, Word: 1
MS Sans Serif, Line: 1064, Word: 1
OK, Line: 1066, Word: 1
Cancel, Line: 1067, Word: 1
Colors, Line: 1068, Word: 1
Wireframe Color, Line: 1069, Word: 1
Solid Color, Line: 1070, Word: 1
, Line: 1071, Word: 1
, Line: 1072, Word: 1
Line Width, Line: 1073, Word: 1
Thin, Line: 1074, Word: 1
Button, Line: 1074, Word: 2
Medium, Line: 1075, Word: 1
Button, Line: 1075, Word: 2
Thick, Line: 1076, Word: 1
Button, Line: 1076, Word: 2
Line Font, Line: 1077, Word: 1
Normal, Line: 1078, Word: 1
Button, Line: 1078, Word: 2
Dash-Dot, Line: 1079, Word: 1
Button, Line: 1079, Word: 2
Dotted, Line: 1080, Word: 1
Button, Line: 1080, Word: 2
Point Size, Line: 1081, Word: 1
Small, Line: 1082, Word: 1
Button, Line: 1082, Word: 2
Medium, Line: 1083, Word: 1
Button, Line: 1083, Word: 2
Large, Line: 1084, Word: 1
Button, Line: 1084, Word: 2
Translucent, Line: 1085, Word: 1
Button, Line: 1085, Word: 2
Draw, Line: 1086, Word: 1
Only Solid, Line: 1087, Word: 1
Button, Line: 1087, Word: 2
Only Wire, Line: 1088, Word: 1
Button, Line: 1088, Word: 2
Both, Line: 1089, Word: 1
Button, Line: 1089, Word: 2
Set as default, Line: 1090, Word: 1
, Line: 1091, Word: 1
msctls_updown32, Line: 1091, Word: 2
, Line: 1092, Word: 1
msctls_updown32, Line: 1092, Word: 2
Scale Model Dialog, Line: 1097, Word: 1
MS Shell Dlg, Line: 1098, Word: 1
OK, Line: 1101, Word: 1
Cancel, Line: 1102, Word: 1
Scale Factor, Line: 1103, Word: 1
Multiply, Line: 1104, Word: 1
Button, Line: 1104, Word: 2
X fit, Line: 1105, Word: 1
Button, Line: 1105, Word: 2
Y fit, Line: 1106, Word: 1
Button, Line: 1106, Word: 2
X Y Z fit  , Line: 1107, Word: 1
Button, Line: 1107, Word: 2
New X length, Line: 1108, Word: 1
New Y length, Line: 1109, Word: 1
New Z length, Line: 1112, Word: 1
Mirror Model, Line: 1118, Word: 1
MS Shell Dlg, Line: 1119, Word: 1
YZ plane, Line: 1121, Word: 1
Button, Line: 1121, Word: 2
XZ plane, Line: 1122, Word: 1
Button, Line: 1122, Word: 2
XY plane, Line: 1123, Word: 1
Button, Line: 1123, Word: 2
Copy, Line: 1125, Word: 1
Button, Line: 1125, Word: 2
Define point on mirror plane, Line: 1126, Word: 1
OK, Line: 1127, Word: 1
Cancel, Line: 1128, Word: 1
Mirror Plane, Line: 1129, Word: 1
Offset from origin, Line: 1130, Word: 1
Move Model Dialog, Line: 1135, Word: 1
MS Shell Dlg, Line: 1136, Word: 1
OK, Line: 1138, Word: 1
Cancel, Line: 1139, Word: 1
DeltaX, Line: 1140, Word: 1
DeltaY, Line: 1141, Word: 1
DeltaZ, Line: 1142, Word: 1
Move, Line: 1145, Word: 1
Point To Point, Line: 1146, Word: 1
Enclosingbox top center to origin, Line: 1148, Word: 1
Point to origin, Line: 1149, Word: 1
Rotate Model Dialog, Line: 1154, Word: 1
MS Shell Dlg, Line: 1155, Word: 1
OK, Line: 1158, Word: 1
Cancel, Line: 1159, Word: 1
Angle, Line: 1160, Word: 1
ReorientModel, Line: 1165, Word: 1
MS Shell Dlg, Line: 1166, Word: 1
OK, Line: 1168, Word: 1
Cancel, Line: 1169, Word: 1
Copy, Line: 1170, Word: 1
Button, Line: 1170, Word: 2
DynamicClip Dialog, Line: 1175, Word: 1
MS Shell Dlg, Line: 1176, Word: 1
Pick section plane point, Line: 1178, Word: 1
Angle, Line: 1180, Word: 1
Add section models, Line: 1181, Word: 1
Clear sections, Line: 1182, Word: 1
Flip plane normal, Line: 1183, Word: 1
Button, Line: 1183, Word: 2
Dialog, Line: 1188, Word: 1
MS Shell Dlg, Line: 1189, Word: 1
Colors and display, Line: 1195, Word: 1
MS Shell Dlg, Line: 1196, Word: 1
Colors, Line: 1198, Word: 1
, Line: 1199, Word: 1
..., Line: 1201, Word: 1
Reset factory settings, Line: 1202, Word: 1
OK, Line: 1203, Word: 1
Close, Line: 1204, Word: 1
Number parameters, Line: 1207, Word: 1
Styles, Line: 1209, Word: 1
Add to styles, Line: 1210, Word: 1
Enum parameters, Line: 1211, Word: 1
Delete style, Line: 1213, Word: 1
..., Line: 1214, Word: 1
..., Line: 1215, Word: 1
Text parameters, Line: 1217, Word: 1
..., Line: 1220, Word: 1
Box Parameter Dialog, Line: 1225, Word: 1
MS Shell Dlg, Line: 1226, Word: 1
OK, Line: 1228, Word: 1
Cancel, Line: 1229, Word: 1
X length:, Line: 1233, Word: 1
Y length:, Line: 1234, Word: 1
Z length:, Line: 1235, Word: 1
Dynamic Transformation, Line: 1240, Word: 1
MS Shell Dlg, Line: 1241, Word: 1
OK, Line: 1243, Word: 1
Cancel, Line: 1244, Word: 1
Translation, Line: 1245, Word: 1
Rotation, Line: 1246, Word: 1
X, Line: 1247, Word: 1
Button, Line: 1247, Word: 2
Y, Line: 1248, Word: 1
Button, Line: 1248, Word: 2
Z, Line: 1249, Word: 1
Button, Line: 1249, Word: 2
L, Line: 1250, Word: 1
Button, Line: 1250, Word: 2
X, Line: 1251, Word: 1
Button, Line: 1251, Word: 2
Y, Line: 1252, Word: 1
Button, Line: 1252, Word: 2
Z, Line: 1253, Word: 1
Button, Line: 1253, Word: 2
L, Line: 1254, Word: 1
Button, Line: 1254, Word: 2
Reselect CS, Line: 1255, Word: 1
Lock, Line: 1257, Word: 1
Button, Line: 1257, Word: 2
Lock, Line: 1259, Word: 1
Button, Line: 1259, Word: 2
Pick L start, Line: 1261, Word: 1
Button, Line: 1261, Word: 2
Pick L end, Line: 1262, Word: 1
Button, Line: 1262, Word: 2
None, Line: 1263, Word: 1
Button, Line: 1263, Word: 2
Coordinate System CS, Line: 1268, Word: 1
MS Shell Dlg, Line: 1269, Word: 1
CS of surface, Line: 1271, Word: 1
CS of current view, Line: 1272, Word: 1
Center , Z axis , point on X axis, Line: 1273, Word: 1
Flip Active CS Z direction, Line: 1274, Word: 1
Reselect Active CS X direction, Line: 1275, Word: 1
CS of Solid2d , Toolpath, Line: 1276, Word: 1
CS by least squares plane fit, Line: 1277, Word: 1
IGES Read Preferences, Line: 1282, Word: 1
MS Shell Dlg, Line: 1283, Word: 1
OK, Line: 1285, Word: 1
Cancel, Line: 1286, Word: 1
Digitise Tolerance, Line: 1288, Word: 1
Read untrimmed surfaces, Line: 1289, Word: 1
Button, Line: 1289, Word: 2
Read trimmed surfaces, Line: 1290, Word: 1
Button, Line: 1290, Word: 2
Read curves, Line: 1291, Word: 1
Button, Line: 1291, Word: 2
Read points, Line: 1292, Word: 1
Button, Line: 1292, Word: 2
Read notes, Line: 1293, Word: 1
Button, Line: 1293, Word: 2
Triangulate surfaces, Line: 1294, Word: 1
Button, Line: 1294, Word: 2
Check if cylindirical or planar, Line: 1295, Word: 1
Button, Line: 1295, Word: 2
Record exceptions, Line: 1296, Word: 1
Button, Line: 1296, Word: 2
Use BSP for in polygon checks, Line: 1297, Word: 1
Button, Line: 1297, Word: 2
Change tolerance of big surfaces, Line: 1298, Word: 1
Button, Line: 1298, Word: 2
Big surface diagonal length limit, Line: 1300, Word: 1
Big surface digitise tolerance, Line: 1301, Word: 1
Merge surfaces and make one body, Line: 1303, Word: 1
Button, Line: 1303, Word: 2
Lua script for geo export, Line: 1305, Word: 1
