resource.h, Line: 3
Read NC files..., Line: 466
Export Surfaces&Curves To LuaScript..., Line: 467
Recently Opened, Line: 470
E&xit, Line: 472
&Edit, Line: 474
Undo last action(CTRL-Z), Line: 477
Redo last undo(CTRL-Y), Line: 478
Copy..., Line: 479
Find text...(CTRL-F), Line: 480
Visual Attributes..., Line: 481
Transform, Line: 482
Move..., Line: 484
Rotate..., Line: 485
Scale..., Line: 486
Mirror..., Line: 487
Reorient..., Line: 488
Dynamic..., Line: 489
Move on work plane..., Line: 490
Coordinate system, Line: 492
Select active coordinate system..., Line: 494
Modify..., Line: 495
Visibility..., Line: 497
Delete..., Line: 498
Analyze Mode, Line: 499
Curve (F2), Line: 501
Surface (F3), Line: 502
Exit Analyze Mode (Esc), Line: 503
Explode text to curves..., Line: 505
Make unselectable, Line: 506
Remake selectable, Line: 507
&View, Line: 509
&Toolbars, Line: 511
Open, Line: 513
Basic, Line: 514
View, Line: 515
Sketch, Line: 516
WireEDM, Line: 517
Mill, Line: 518
Solid2d, Line: 519
&Status Bar, Line: 521
Treeview, Line: 522
Plugin Window, Line: 523
IE window, Line: 524
Change view direction..., Line: 525
Hide..., Line: 526
Show hidden..., Line: 527
Save screen view as bmp..., Line: 528
Auto bmp generate from screen..., Line: 529
Dynamic clipping..., Line: 530
Status Window, Line: 531
Selection Bar, Line: 532
Coordinates Bar, Line: 533
IE Window Home Page, Line: 534
Regenerate graphics..., Line: 535
ChangeViewTo, Line: 536
Top, Line: 538
Front, Line: 539
Right, Line: 540
Bottom, Line: 541
Back, Line: 542
Left, Line: 543
Iso, Line: 544
DrawStyle, Line: 546
ShadedAndWireFrame, Line: 548
Shaded, Line: 549
WireFrame, Line: 550
HiddenLine, Line: 551
Transparent HiddenLine, Line: 552
Triangles, Line: 553
ChangeViewDir..., Line: 555
ColorMode, Line: 556
Standard, Line: 558
Variable, Line: 559
Free selection form, Line: 561
Post process simulations, Line: 562
Macro tables dialog, Line: 563
&Insert, Line: 565
Coordinate system, Line: 567
Absolute, Line: 569
As view direction, Line: 570
By dialog..., Line: 571
Box..., Line: 573
Text..., Line: 574
Label..., Line: 575
Section..., Line: 576
Tree link..., Line: 577
Points from BMP..., Line: 578
Silhoutte..., Line: 579
Color definition..., Line: 580
Glyph Sets..., Line: 581
Color map..., Line: 582
Attach texture to surface..., Line: 583
Auto loop..., Line: 584
Search overlaps..., Line: 585
PathCalc2D, Line: 586
Stone nesting, Line: 587
Select stock..., Line: 589
Make hull, Line: 591
Supports and vacuum..., Line: 592
Make transformation group, Line: 593
&Preferences, Line: 595
Triangles Read Write..., Line: 597
IGES Read..., Line: 598
Colors and display..., Line: 599
Mouse Options..., Line: 600
DXF Read..., Line: 601
DXF Export..., Line: 602
Lua Script..., Line: 603
Segmentation Parameters..., Line: 604
Stone Parameters..., Line: 605
Free selection, Line: 606
Factory Settings, Line: 607
Load Factory Settings, Line: 609
Create My Factory Settings, Line: 610
Load My Factory Settings, Line: 611
Load My Factory Settings to Cloud, Line: 612
Get My Factoyr Settings From Cloud, Line: 613
General settings..., Line: 615
Configurations..., Line: 616
Settings root directory, Line: 617
&Dimensions, Line: 619
&List..., Line: 621
Dimension..., Line: 622
Dynamic Curve Info, Line: 623
Dynamic Surface Info, Line: 624
Exit Dynamic Info, Line: 625
&Window, Line: 627
&New Window, Line: 629
&Cascade, Line: 630
&Tile, Line: 631
&Arrange Icons, Line: 632
Test..., Line: 633
Geo, Line: 635
Make Points..., Line: 637
Make curves, Line: 638
Lines..., Line: 640
Circles/Arcs..., Line: 641
Ellipse..., Line: 642
Spiral, Line: 643
Splines..., Line: 644
Surface silhouette..., Line: 645
Extract triangles edges..., Line: 646
Normal lines from surface..., Line: 647
Extract surface edges..., Line: 648
Make convex hull..., Line: 649
Make hull..., Line: 650
Make reversed copy..., Line: 651
Fillet, Line: 652
Min distance, Line: 653
Make net, Line: 655
By grid dialog, Line: 657
Make surfaces, Line: 659
Ruled..., Line: 661
Surface of revolution..., Line: 662
Offset surface..., Line: 663
Extrusion..., Line: 664
From segments..., Line: 665
From planar curves..., Line: 666
From net..., Line: 667
Maked reversed copy..., Line: 668
Reform by B-Spline(s), Line: 669
Make shell, Line: 671
Filleting..., Line: 672
Minimum Distance..., Line: 673
Curve-curve..., Line: 675
Close holes of a surface..., Line: 677
Make Box..., Line: 678
Solid2D, Line: 679
Parametric shapes, Line: 681
Make, Line: 682
Boolean, Line: 683
Unite, Line: 685
Intersect, Line: 686
Subtract, Line: 687
Hatch, Line: 689
Offset, Line: 690
Explode to curves, Line: 691
Hollow, Line: 692
Add path, Line: 693
Position on solid 2D, Line: 694
Fillet, Line: 695
Chamfer, Line: 696
Solid 2.5D, Line: 698
Make..., Line: 700
Chamfer..., Line: 701
Fillet..., Line: 702
Explode to surfaces..., Line: 703
Trimming, Line: 705
Surfaces..., Line: 707
Split curves..., Line: 708
Split curves by work plane..., Line: 709
Projection, Line: 711
Project curves to work plane, Line: 713
Project curves on a surface, Line: 714
Unproject curve to curve, Line: 715
Multi direction projection to work plane, Line: 716
Join curves..., Line: 718
Offset curves, Line: 719
Offset, Line: 721
Sharp offset, Line: 722
3D offset, Line: 723
Variable offset, Line: 724
Extend curves..., Line: 726
Sphere mapping, Line: 727
Spine calculation, Line: 728
Helical revolution..., Line: 729
Subdivision Curves..., Line: 730
Make convex hull..., Line: 731
Helical wrapping, Line: 732
Groove calculator..., Line: 733
Turning, Line: 735
Turn Form..., Line: 737
Manuel G Cod, Line: 738
Turning..., Line: 739
Machining, Line: 741
Tools, Line: 743
Contour machining, Line: 744
Drilling, Line: 745
Sew blade machining, Line: 746
Manuel nesting, Line: 747
Make stock, Line: 749
Make part, Line: 750
Compact cutting, Line: 752
Automated true shape cutting, Line: 753
Tables, Line: 754
Post processor settings, Line: 755
Settings, Line: 756
Advanced machining, Line: 758
Show GUI..., Line: 760
Set machining direction, Line: 761
Set custom tool axis direction, Line: 762
Edit contour 2D tool angle, Line: 763
Start, Line: 765
Close, Line: 766
Wire machining, Line: 769
Single contour, Line: 771
Multi contours, Line: 772
4 axis, Line: 773
Surface machining, Line: 774
Taper machining, Line: 775
Wire machining post processor, Line: 776
Help, Line: 778
Manuel, Line: 780
About, Line: 781
Operations, Line: 787
Insert Operation..., Line: 789
Hide all toolpath, Line: 790
Show all toolpath, Line: 791
Send to postbox, Line: 792
Clear, Line: 793
Texture Map, Line: 799
Show, Line: 801
Hide, Line: 802
Image, Line: 803
Flip along U, Line: 805
Flip along V, Line: 806
Export image, Line: 807
Apply median filter..., Line: 808
Apply Sobel filter..., Line: 809
Make grey scale, Line: 810
Segmentation, Line: 812
Make segmented solid..., Line: 814
Attach geometry..., Line: 816
Delete   X, Line: 817
Client Context, Line: 823
Show, Line: 825
Hide, Line: 826
Segment, Line: 832
Show, Line: 834
Hide, Line: 835
Form region curves for checked, Line: 836
Make convex hull for checked, Line: 837
Make hull for checked, Line: 838
Check selected..., Line: 839
Uncheck selected..., Line: 840
Delete checked  X, Line: 841
Segmented Solid, Line: 847
Show, Line: 849
Hide, Line: 850
Make outer net..., Line: 851
Make inner net..., Line: 852
Delete   X, Line: 853
res\\bmp00001.bmp, Line: 933
res\\CNCSTEP.bmp, Line: 935
res\\toolbar1.bmp, Line: 937
res\\bitmap_w.bmp, Line: 939
res\\bitmap3.bmp, Line: 941
res\\bitmap4.bmp, Line: 943
res\\bmp00002.bmp, Line: 945
res\\bitmap_f.bmp, Line: 947
res\\toolbar3.bmp, Line: 949
res\\toolbargeo.bmp, Line: 951
res\\toolbarkki.bmp, Line: 953
TaperInfo1.bmp, Line: 955
bitmapwx3.bmp, Line: 957
res\\bmp00003.bmp, Line: 959
bitmapwi4.bmp, Line: 961
bitmapta9.bmp, Line: 963
bitmapta8.bmp, Line: 965
res\\bitmap_t.bmp, Line: 967
bitmapta10.bmp, Line: 969
wiretoolbar1.bmp, Line: 971
res\\toolbar4.bmp, Line: 973
res\\wireprogramplane.bmp, Line: 975
res\\bmp00004.bmp, Line: 977
res\\solidcncresmilogo.BMP, Line: 979
res\\bmpToolInfo.bmp, Line: 981
res\\bmp00005.bmp, Line: 983
res\\bitmapCylinderTool.bmp, Line: 985
res\\bitmapSphereTool.bmp, Line: 987
res\\bitmapTorusTool.bmp, Line: 989
res\\bitmapConicTool.bmp, Line: 991
res\\bitmapUserTool.bmp, Line: 993
res\\zOverCut.bmp, Line: 995
res\\bitmap_s.bmp, Line: 997
res\\bitmap7.bmp, Line: 999
res\\bmp00006.bmp, Line: 1001
res\\bitmap8.bmp, Line: 1003
res\\bmp00007.bmp, Line: 1005
res\\bmp00008.bmp, Line: 1007
res\\bmp00009.bmp, Line: 1009
res\\bmp00010.bmp, Line: 1011
res\\bmp00011.bmp, Line: 1013
res\\bmp00012.bmp, Line: 1015
res\\bmp00013.bmp, Line: 1017
res\\bmp00014.bmp, Line: 1019
res\\bmp00015.bmp, Line: 1021
res\\bmp00016.bmp, Line: 1023
res\\bmp00017.bmp, Line: 1025
res\\bmp00018.bmp, Line: 1027
res\\bmp00019.bmp, Line: 1029
res\\bmp00020.bmp, Line: 1031
res\\bmp00021.bmp, Line: 1033
res\\bmp00022.bmp, Line: 1035
res\\bmp00023.bmp, Line: 1037
res\\bmp00024.bmp, Line: 1039
res\\bmp00025.bmp, Line: 1041
res\\bmp00026.bmp, Line: 1043
res\\bmp00027.bmp, Line: 1045
res\\bmp00028.bmp, Line: 1047
res\\bmp00029.bmp, Line: 1049
res\\bmp00030.bmp, Line: 1051
res\\bmp00031.bmp, Line: 1053
Visual Attributes, Line: 1063
MS Sans Serif, Line: 1064
OK, Line: 1066
Cancel, Line: 1067
Colors, Line: 1068
Wireframe Color, Line: 1069
Solid Color, Line: 1070
, Line: 1071
, Line: 1072
Line Width, Line: 1073
Thin, Line: 1074
Button, Line: 1074
Medium, Line: 1075
Button, Line: 1075
Thick, Line: 1076
Button, Line: 1076
Line Font, Line: 1077
Normal, Line: 1078
Button, Line: 1078
Dash-Dot, Line: 1079
Button, Line: 1079
Dotted, Line: 1080
Button, Line: 1080
Point Size, Line: 1081
Small, Line: 1082
Button, Line: 1082
Medium, Line: 1083
Button, Line: 1083
Large, Line: 1084
Button, Line: 1084
Translucent, Line: 1085
Button, Line: 1085
Draw, Line: 1086
Only Solid, Line: 1087
Button, Line: 1087
Only Wire, Line: 1088
Button, Line: 1088
Both, Line: 1089
Button, Line: 1089
Set as default, Line: 1090
, Line: 1091
msctls_updown32, Line: 1091
, Line: 1092
msctls_updown32, Line: 1092
Scale Model Dialog, Line: 1097
MS Shell Dlg, Line: 1098
OK, Line: 1101
Cancel, Line: 1102
Scale Factor, Line: 1103
Multiply, Line: 1104
Button, Line: 1104
X fit, Line: 1105
Button, Line: 1105
Y fit, Line: 1106
Button, Line: 1106
X Y Z fit  , Line: 1107
Button, Line: 1107
New X length, Line: 1108
New Y length, Line: 1109
New Z length, Line: 1112
Mirror Model, Line: 1118
MS Shell Dlg, Line: 1119
YZ plane, Line: 1121
Button, Line: 1121
XZ plane, Line: 1122
Button, Line: 1122
XY plane, Line: 1123
Button, Line: 1123
Copy, Line: 1125
Button, Line: 1125
Define point on mirror plane, Line: 1126
OK, Line: 1127
Cancel, Line: 1128
Mirror Plane, Line: 1129
Offset from origin, Line: 1130
Move Model Dialog, Line: 1135
MS Shell Dlg, Line: 1136
OK, Line: 1138
Cancel, Line: 1139
DeltaX, Line: 1140
DeltaY, Line: 1141
DeltaZ, Line: 1142
Move, Line: 1145
Point To Point, Line: 1146
Enclosingbox top center to origin, Line: 1148
Point to origin, Line: 1149
Rotate Model Dialog, Line: 1154
MS Shell Dlg, Line: 1155
OK, Line: 1158
Cancel, Line: 1159
Angle, Line: 1160
ReorientModel, Line: 1165
MS Shell Dlg, Line: 1166
OK, Line: 1168
Cancel, Line: 1169
Copy, Line: 1170
Button, Line: 1170
DynamicClip Dialog, Line: 1175
MS Shell Dlg, Line: 1176
Pick section plane point, Line: 1178
Angle, Line: 1180
Add section models, Line: 1181
Clear sections, Line: 1182
Flip plane normal, Line: 1183
Button, Line: 1183
Dialog, Line: 1188
MS Shell Dlg, Line: 1189
Colors and display, Line: 1195
MS Shell Dlg, Line: 1196
Colors, Line: 1198
, Line: 1199
..., Line: 1201
Reset factory settings, Line: 1202
OK, Line: 1203
Close, Line: 1204
Number parameters, Line: 1207
Styles, Line: 1209
Add to styles, Line: 1210
Enum parameters, Line: 1211
Delete style, Line: 1213
..., Line: 1214
..., Line: 1215
Text parameters, Line: 1217
..., Line: 1220
Box Parameter Dialog, Line: 1225
MS Shell Dlg, Line: 1226
OK, Line: 1228
Cancel, Line: 1229
X length:, Line: 1233
Y length:, Line: 1234
Z length:, Line: 1235
Dynamic Transformation, Line: 1240
MS Shell Dlg, Line: 1241
OK, Line: 1243
Cancel, Line: 1244
Translation, Line: 1245
Rotation, Line: 1246
X, Line: 1247
Button, Line: 1247
Y, Line: 1248
Button, Line: 1248
Z, Line: 1249
Button, Line: 1249
L, Line: 1250
Button, Line: 1250
X, Line: 1251
Button, Line: 1251
Y, Line: 1252
Button, Line: 1252
Z, Line: 1253
Button, Line: 1253
L, Line: 1254
Button, Line: 1254
Reselect CS, Line: 1255
Lock, Line: 1257
Button, Line: 1257
Lock, Line: 1259
Button, Line: 1259
Pick L start, Line: 1261
Button, Line: 1261
Pick L end, Line: 1262
Button, Line: 1262
None, Line: 1263
Button, Line: 1263
Coordinate System CS, Line: 1268
MS Shell Dlg, Line: 1269
CS of surface, Line: 1271
CS of current view, Line: 1272
Center , Z axis , point on X axis, Line: 1273
Flip Active CS Z direction, Line: 1274
Reselect Active CS X direction, Line: 1275
CS of Solid2d , Toolpath, Line: 1276
CS by least squares plane fit, Line: 1277
IGES Read Preferences, Line: 1282
MS Shell Dlg, Line: 1283
OK, Line: 1285
Cancel, Line: 1286
Digitise Tolerance, Line: 1288
Read untrimmed surfaces, Line: 1289
Button, Line: 1289
Read trimmed surfaces, Line: 1290
Button, Line: 1290
Read curves, Line: 1291
Button, Line: 1291
Read points, Line: 1292
Button, Line: 1292
Read notes, Line: 1293
Button, Line: 1293
Triangulate surfaces, Line: 1294
Button, Line: 1294
Check if cylindirical or planar, Line: 1295
Button, Line: 1295
Record exceptions, Line: 1296
Button, Line: 1296
Use BSP for in polygon checks, Line: 1297
Button, Line: 1297
Change tolerance of big surfaces, Line: 1298
Button, Line: 1298
Big surface diagonal length limit, Line: 1300
Big surface digitise tolerance, Line: 1301
Merge surfaces and make one body, Line: 1303
Button, Line: 1303
Lua script for geo export, Line: 1305
Curve divide till recursive depth, Line: 1306
Surface divide count max segment, Line: 1308
Preference Dialog, Line: 1314
MS Shell Dlg, Line: 1315
Cancel, Line: 1317
Lighting, Line: 1318
Iges Read, Line: 1319
Color, Line: 1320
Preferences, Line: 1321
Surface Point Navigator Dialog, Line: 1326
MS Shell Dlg, Line: 1327
OK, Line: 1329
+ u, Line: 1330
u -, Line: 1331
+ v, Line: 1332
v -, Line: 1333
Record, Line: 1334
Transform Model, Line: 1339
MS Shell Dlg, Line: 1340
Move, Line: 1342
Rotate, Line: 1343
Scale, Line: 1344
Mirror, Line: 1345
Reorient, Line: 1346
Dynamic, Line: 1347
Copy, Line: 1348
Button, Line: 1348
Repeat No, Line: 1350
Move on work, Line: 1351
Curve sweep clone, Line: 1352
Rotate for smallest box, Line: 1353
View List Dialog, Line: 1358
MS Shell Dlg, Line: 1359
OK, Line: 1361
Cancel, Line: 1362
Change View Direction, Line: 1364
Add, Line: 1365
Remove, Line: 1366
Get, Line: 1367
Dimension Dialog, Line: 1372
MS Shell Dlg, Line: 1373
Distance2Points, Line: 1375
3D, Line: 1376
Button, Line: 1376
ProjectedXY, Line: 1377
Button, Line: 1377
ProjectedXZ, Line: 1378
Button, Line: 1378
ProjectedYZ, Line: 1379
Button, Line: 1379
AlongX, Line: 1380
Button, Line: 1380
AlongY, Line: 1381
Button, Line: 1381
AlongZ, Line: 1382
Button, Line: 1382
Angular, Line: 1383
Button, Line: 1383
Text Height, Line: 1385
Visual Attributes, Line: 1386
Radius, Line: 1387
Button, Line: 1387
Diameter, Line: 1388
Button, Line: 1388
Other, Line: 1389
Done, Line: 1390
Continuous, Line: 1391
Button, Line: 1391
Absolute CS, Line: 1392
Button, Line: 1392
Work CS, Line: 1393
Button, Line: 1393
Learn Dimensions, Line: 1398
Microsoft Sans Serif, Line: 1399
OK, Line: 1401
Cancel, Line: 1402
Single Point, Line: 1403
Angle, Line: 1404
2 Points, Line: 1405
Arc , Circle, Line: 1406
Info, Line: 1407
Projected Volume, Line: 1409
Area, Line: 1410
Dialog, Line: 1415
MS Shell Dlg, Line: 1416
Check1, Line: 1418
Button, Line: 1418
Thread, Line: 1423
MS Shell Dlg, Line: 1424
Pause, Line: 1426
Insert Link Dialog, Line: 1431
MS Shell Dlg, Line: 1432
OK, Line: 1434
Cancel, Line: 1435
Link path and name (put  /  between folders), Line: 1437
Label Text Dialog, Line: 1442
MS Shell Dlg, Line: 1443
OK, Line: 1445
Cancel, Line: 1446
Label Text, Line: 1448
Save Selection Dialog, Line: 1453
MS Shell Dlg, Line: 1454
Save, Line: 1456
Cancel, Line: 1457
, Line: 1458
SysTreeView32, Line: 1458
..., Line: 1460
Microsoft Sans Serif, Line: 1465
, Line: 1467
SysListView32, Line: 1467
Button1, Line: 1469
Tahoma, Line: 1474
, Line: 1476
SysListView32, Line: 1476
Tahoma, Line: 1481
OK, Line: 1483
Cancel, Line: 1484
gï¿½siï¿½ï¿½, Line: 1486
Tahoma, Line: 1491
+X, Line: 1496
+Y, Line: 1497
+Z, Line: 1498
Reverse, Line: 1499
Norm, Line: 1500
2 points, Line: 1501
View dir, Line: 1502
Surf. Normal, Line: 1503
Button, Line: 1503
Tang. to edge, Line: 1504
Button, Line: 1504
OK, Line: 1505
Cancel, Line: 1506
I, Line: 1507
J, Line: 1508
K, Line: 1509
^X, Line: 1510
^Z, Line: 1511
^Y, Line: 1512
Tahoma, Line: 1517
Origin, Line: 1522
<, Line: 1523
>, Line: 1524
Free point click, Line: 1525
Button, Line: 1525
Select any vertices, Line: 1526
Button, Line: 1526
OK, Line: 1527
Cancel, Line: 1528
X, Line: 1529
Y, Line: 1530
Z, Line: 1531
Tahoma, Line: 1536
OK, Line: 1539
Cancel, Line: 1540
MODEL TYPES THAT CAN BE SELECTED, Line: 1541
Color to select : All, Line: 1542
Pick, Line: 1543
All color, Line: 1544
Deselect, Line: 1545
Button, Line: 1545
Chain curves, Line: 1546
Button, Line: 1546
Escape, Line: 1547
MS Shell Dlg, Line: 1552
Working Plane, Line: 1555
Normal Coord, Line: 1557
Set, Line: 1558
Tahoma, Line: 1563
X, Line: 1567
Y, Line: 1569
Z, Line: 1571
Pick Work Origin, Line: 1573
Grid, Line: 1575
Button, Line: 1575
..., Line: 1576
Tolerance, Line: 1577
MS Shell Dlg, Line: 1582
Button1, Line: 1584
Check1, Line: 1585
Button, Line: 1585
File Dialog, Line: 1590
MS Shell Dlg, Line: 1591
Open/Save, Line: 1593
Cancel, Line: 1594
File Name:, Line: 1596
, Line: 1597
SysListView32, Line: 1597
Big stl clipping, Line: 1603
MS Shell Dlg, Line: 1604
OK, Line: 1606
Cancel, Line: 1607
Min, Line: 1608
Max, Line: 1610
X Plane, Line: 1612
Button, Line: 1612
Y Plane, Line: 1613
Button, Line: 1613
Z Plane, Line: 1614
Button, Line: 1614
Clip triangles by plane, Line: 1618
Button, Line: 1618
Clip negative, Line: 1619
Button, Line: 1619
MS Shell Dlg, Line: 1624
, Line: 1626
SysTabControl32, Line: 1626
MS Shell Dlg, Line: 1632
, Line: 1634
SysTreeView32, Line: 1634
>, Line: 1636
<, Line: 1637
, Line: 1638
MS Shell Dlg, Line: 1643
Grid dialog, Line: 1649
MS Shell Dlg, Line: 1650
OK, Line: 1658
Cancel, Line: 1659
Lower left, Line: 1660
Lower right, Line: 1661
Upper right, Line: 1662
Upper left, Line: 1663
Unit length, Line: 1664
X count, Line: 1665
Y count, Line: 1666
X shift, Line: 1667
Y shift, Line: 1668
Z shift, Line: 1669
Glyph Sets, Line: 1674
MS Shell Dlg, Line: 1675
Close, Line: 1677
Char, Line: 1680
Select Curves And Add Glyph, Line: 1681
Delete Glyph, Line: 1682
Add Glyph Set >, Line: 1683
Glyph Set Name, Line: 1685
Glyphs, Line: 1687
Glyph Sets, Line: 1688
Save, Line: 1689
Load, Line: 1690
Base y shift, Line: 1691
< Edit Glyph Set, Line: 1693
Glyph set height, Line: 1694
Mouse Options, Line: 1700
MS Shell Dlg, Line: 1701
OK, Line: 1703
Cancel, Line: 1704
Mouse mid button, Line: 1705
Dynamic rotation, Line: 1706
Button, Line: 1706
Pan, Line: 1707
Button, Line: 1707
Switch wheel zoom in-out direction, Line: 1708
Button, Line: 1708
-, Line: 1713
MS Shell Dlg, Line: 1714
Enter Text, Line: 1717
Font Size, Line: 1718
Tessellate, Line: 1722
Insert Text, Line: 1723
Italic, Line: 1724
Button, Line: 1724
Underline, Line: 1725
Button, Line: 1725
Strike out, Line: 1726
Button, Line: 1726
DXF Import Options, Line: 1732
MS Shell Dlg, Line: 1733
Override z coordinates which are bigger than limit, Line: 1735
Button, Line: 1736
Lines, Line: 1739
Button, Line: 1739
Circles, Line: 1740
Button, Line: 1740
Polylines, Line: 1741
Button, Line: 1741
LWPolylines, Line: 1742
Button, Line: 1742
Text, Line: 1743
Button, Line: 1743
MText, Line: 1744
Button, Line: 1744
Arcs, Line: 1745
Button, Line: 1745
Ellipse, Line: 1746
Button, Line: 1746
Splines, Line: 1747
Button, Line: 1747
Limit reading, Line: 1748
Button, Line: 1748
Explode polylines, Line: 1751
Button, Line: 1751
OK, Line: 1752
Cancel, Line: 1753
Import, Line: 1754
Z Limit, Line: 1755
Z coordinate after replacement, Line: 1756
Start entity no, Line: 1757
End entity no, Line: 1758
Container sheet, Line: 1759
Button, Line: 1759
Work space diameter, Line: 1761
Hide entities which are out of work space, Line: 1762
Button, Line: 1763
Work space center, Line: 1767
Inserts, Line: 1768
Button, Line: 1768
Transform to work plane after importing, Line: 1769
Button, Line: 1770
Override entity colors by default wireframe color, Line: 1771
Button, Line: 1772
Hatch, Line: 1773
Button, Line: 1773
Add hatches as surface, Line: 1774
Button, Line: 1774
Translate text, Line: 1775
Button, Line: 1775
Make Arc, Line: 1780
MS Shell Dlg, Line: 1781
Center , radius, Line: 1783
Center , radius , axis, Line: 1784
3 points, Line: 1785
Circle from 3 points, Line: 1786
Center , point on circle, Line: 1787
Center , axis , point on circle, Line: 1788
Box, Line: 1793
MS Shell Dlg, Line: 1794
Close, Line: 1796
, Line: 1797
SysTabControl32, Line: 1797
Only wireframe, Line: 1798
Button, Line: 1798
Translucent, Line: 1799
Button, Line: 1799
Spline fit dialog, Line: 1804
MS Shell Dlg, Line: 1805
Select points for spline fit, Line: 1807
Close, Line: 1808
0. degree (polyline), Line: 1809
Button, Line: 1809
3. degree, Line: 1810
Button, Line: 1810
Degree of curve, Line: 1811
Make points on curve, Line: 1817
MS Shell Dlg, Line: 1818
OK, Line: 1820
Cancel, Line: 1821
By distance step, Line: 1822
Button, Line: 1822
By point count, Line: 1823
Button, Line: 1823
